indicator,pattern,rate,tiers,seed,mape,flips,n_pairs,coverage,rel_width,n_participants,pds,flow_share
GHG,random,0.05,2,2,17.622732320813206,10.493827160493828,162,100.0,0.9001998290963436,3,0.21271307291401526,0.04115409051480642
GHG,random,0.05,2,3,17.825939135258615,9.25925925925926,162,100.0,0.9663348968005971,3,0.20898923816013998,0.021099444508961514
GHG,random,0.05,2,4,15.589944143920237,9.876543209876543,162,100.0,0.9639777373637469,3,0.20234819877271026,0.09524556257241766
GHG,random,0.05,2,5,14.336773903881763,8.641975308641975,162,94.73684210526315,0.9451452677980726,3,0.20314013519985555,0.015565023550008295
GHG,random,0.05,2,6,15.970889725196717,8.641975308641975,162,89.47368421052632,0.9228786072606381,3,0.248620997425454,0.08331103222925863
GHG,random,0.05,2,7,15.530649351227385,9.876543209876543,162,100.0,0.997168185537199,3,0.20092584996076202,0.00916315210137732
GHG,random,0.05,2,8,15.112623248986948,8.024691358024691,162,100.0,0.9288248556053528,3,0.20780971098276754,0.05130375643898991
GHG,random,0.05,2,9,15.53154843966033,10.493827160493828,162,94.73684210526315,0.9685058166567784,3,0.20954065928590476,0.014245981202129991
GHG,random,0.05,3,0,15.848610311648786,9.25925925925926,162,100.0,0.8320826447490749,3,0.20954610726330028,0.054458978475693955
GHG,random,0.05,3,1,18.329417297648916,9.876543209876543,162,100.0,0.9591775032267376,3,0.2078765008971728,0.022574436414749446
GHG,random,0.05,3,2,15.127412501747992,9.25925925925926,162,94.73684210526315,1.0085687765216798,3,0.2236524215131439,0.1324041537197256
GHG,random,0.05,3,3,18.066921967869476,9.25925925925926,162,100.0,0.94472040743733,3,0.20902638241691932,0.0481011974899559
GHG,random,0.05,3,4,14.105422756162788,9.25925925925926,162,100.0,1.047174773254733,3,0.22817220945364644,0.060578588800699905
GHG,random,0.05,3,5,15.333897122636788,7.407407407407407,162,94.73684210526315,0.976676309392574,3,0.25773692701035705,0.03916157960171694
GHG,random,0.05,3,6,17.847105653889706,9.25925925925926,162,100.0,0.9599860379145277,3,0.2027753896239687,0.03206801501946697
GHG,random,0.05,3,7,15.123308824318388,8.641975308641975,162,94.73684210526315,0.9839740185015096,3,0.23780920125868846,0.04047029696054619
GHG,random,0.05,3,8,16.482247973468365,9.25925925925926,162,94.73684210526315,0.9869836729176567,3,0.2072971691426386,0.05214896172233509
GHG,random,0.05,3,9,12.541426597975589,9.876543209876543,162,100.0,0.9499073737857616,3,0.23357652957282796,0.06033129928516047
GHG,random,0.05,0,0,15.594128991193434,10.493827160493828,162,100.0,0.9677384217916136,3,0.20326450552924874,0.01726781713300434
GHG,random,0.05,0,1,15.558524685582539,9.876543209876543,162,100.0,1.038178974233842,3,0.20468526078246801,0.0476312496512795
GHG,random,0.05,0,2,15.53098660803895,9.25925925925926,162,100.0,0.9927073772292184,3,0.24501508753485685,0.05118029822922112
GHG,random,0.05,0,3,15.740697069181293,9.876543209876543,162,100.0,0.922385277301675,3,0.2102183284069683,0.027396103456433764
GHG,random,0.05,0,4,12.692488125480688,9.25925925925926,162,100.0,1.0353218902197472,3,0.24127140053837584,0.040624967821898256
GHG,random,0.05,0,5,16.761847762428932,10.493827160493828,162,100.0,0.9186379245328622,3,0.20710789716538358,0.04022747259853552
GHG,random,0.05,0,6,16.244250052901638,9.876543209876543,162,89.47368421052632,1.0539751397087924,3,0.22651475859449186,0.05198751571184109
GHG,random,0.05,0,7,13.364713064872966,8.641975308641975,162,89.47368421052632,0.9049385926542863,3,0.2612602163600747,0.06256834291714493
GHG,random,0.05,0,8,13.655989571866623,9.876543209876543,162,94.73684210526315,1.0045353166895878,3,0.24029661467401753,0.032269535425783674
GHG,random,0.05,0,9,15.016702191960402,8.641975308641975,162,100.0,0.9838474950636537,3,0.23830070620605262,0.07876794791600827
GHG,random,0.1,1,0,15.706900629835898,8.024691358024691,162,100.0,0.82806935291448,6,0.222110779659674,0.07049324481006586
GHG,random,0.1,1,1,12.922251462880938,9.25925925925926,162,94.73684210526315,1.00830349136165,6,0.2508681428154072,0.07919658437135228
